drug,usage,dosage,side_effects
Paracetamol,General therapeutic medication,50 mg once or twice daily,"nausea, dizziness"
Ibuprofen,General therapeutic medication,50 mg once or twice daily,"stomach pain, nausea"
Amoxicillin,General therapeutic medication,500 mg once or twice daily,"headache, dry mouth"
Warfarin,General therapeutic medication,250 mg once or twice daily,"fatigue, mild rash"
Aspirin,General therapeutic medication,250 mg once or twice daily,"stomach pain, nausea"
Metformin,General therapeutic medication,250 mg once or twice daily,"fatigue, mild rash"
Omeprazole,General therapeutic medication,100 mg once or twice daily,"stomach pain, nausea"
Loratadine,General therapeutic medication,500 mg once or twice daily,"headache, dry mouth"
Ciprofloxacin,General therapeutic medication,50 mg once or twice daily,"dizziness, blurred vision"
Azithromycin,General therapeutic medication,500 mg once or twice daily,"nausea, dizziness"
Atorvastatin,General therapeutic medication,50 mg once or twice daily,"stomach pain, nausea"
Simvastatin,General therapeutic medication,100 mg once or twice daily,"fatigue, mild rash"
Losartan,General therapeutic medication,500 mg once or twice daily,"dizziness, blurred vision"
Amlodipine,General therapeutic medication,200 mg once or twice daily,"headache, dry mouth"
Hydrochlorothiazide,General therapeutic medication,250 mg once or twice daily,"stomach pain, nausea"
Prednisone,General therapeutic medication,250 mg once or twice daily,"fatigue, mild rash"
Cetirizine,General therapeutic medication,250 mg once or twice daily,"headache, dry mouth"
Clarithromycin,General therapeutic medication,500 mg once or twice daily,"fatigue, mild rash"
Doxycycline,General therapeutic medication,200 mg once or twice daily,"stomach pain, nausea"
Insulin,General therapeutic medication,50 mg once or twice daily,"dizziness, blurred vision"
Drug_21,General therapeutic medication,200 mg once or twice daily,"dizziness, blurred vision"
Drug_22,General therapeutic medication,200 mg once or twice daily,"dizziness, blurred vision"
Drug_23,General therapeutic medication,100 mg once or twice daily,"stomach pain, nausea"
Drug_24,General therapeutic medication,200 mg once or twice daily,"stomach pain, nausea"
Drug_25,General therapeutic medication,200 mg once or twice daily,"headache, dry mouth"
Drug_26,General therapeutic medication,100 mg once or twice daily,"headache, dry mouth"
Drug_27,General therapeutic medication,250 mg once or twice daily,"stomach pain, nausea"
Drug_28,General therapeutic medication,200 mg once or twice daily,"stomach pain, nausea"
Drug_29,General therapeutic medication,100 mg once or twice daily,"headache, dry mouth"
Drug_30,General therapeutic medication,500 mg once or twice daily,"nausea, dizziness"
Drug_31,General therapeutic medication,250 mg once or twice daily,"headache, dry mouth"
Drug_32,General therapeutic medication,50 mg once or twice daily,"headache, dry mouth"
Drug_33,General therapeutic medication,100 mg once or twice daily,"dizziness, blurred vision"
Drug_34,General therapeutic medication,50 mg once or twice daily,"fatigue, mild rash"
Drug_35,General therapeutic medication,500 mg once or twice daily,"headache, dry mouth"
Drug_36,General therapeutic medication,50 mg once or twice daily,"fatigue, mild rash"
Drug_37,General therapeutic medication,500 mg once or twice daily,"headache, dry mouth"
Drug_38,General therapeutic medication,200 mg once or twice daily,"stomach pain, nausea"
Drug_39,General therapeutic medication,250 mg once or twice daily,"nausea, dizziness"
Drug_40,General therapeutic medication,200 mg once or twice daily,"fatigue, mild rash"
Drug_41,General therapeutic medication,200 mg once or twice daily,"headache, dry mouth"
Drug_42,General therapeutic medication,50 mg once or twice daily,"stomach pain, nausea"
Drug_43,General therapeutic medication,250 mg once or twice daily,"fatigue, mild rash"
Drug_44,General therapeutic medication,100 mg once or twice daily,"nausea, dizziness"
Drug_45,General therapeutic medication,50 mg once or twice daily,"dizziness, blurred vision"
Drug_46,General therapeutic medication,500 mg once or twice daily,"stomach pain, nausea"
Drug_47,General therapeutic medication,50 mg once or twice daily,"nausea, dizziness"
Drug_48,General therapeutic medication,200 mg once or twice daily,"stomach pain, nausea"
Drug_49,General therapeutic medication,100 mg once or twice daily,"fatigue, mild rash"
Drug_50,General therapeutic medication,200 mg once or twice daily,"nausea, dizziness"
Drug_51,General therapeutic medication,50 mg once or twice daily,"dizziness, blurred vision"
Drug_52,General therapeutic medication,250 mg once or twice daily,"dizziness, blurred vision"
Drug_53,General therapeutic medication,50 mg once or twice daily,"dizziness, blurred vision"
Drug_54,General therapeutic medication,50 mg once or twice daily,"fatigue, mild rash"
Drug_55,General therapeutic medication,500 mg once or twice daily,"nausea, dizziness"
Drug_56,General therapeutic medication,50 mg once or twice daily,"stomach pain, nausea"
Drug_57,General therapeutic medication,250 mg once or twice daily,"fatigue, mild rash"
Drug_58,General therapeutic medication,500 mg once or twice daily,"nausea, dizziness"
Drug_59,General therapeutic medication,50 mg once or twice daily,"dizziness, blurred vision"
Drug_60,General therapeutic medication,250 mg once or twice daily,"fatigue, mild rash"
Drug_61,General therapeutic medication,100 mg once or twice daily,"dizziness, blurred vision"
Drug_62,General therapeutic medication,500 mg once or twice daily,"stomach pain, nausea"
Drug_63,General therapeutic medication,50 mg once or twice daily,"fatigue, mild rash"
Drug_64,General therapeutic medication,100 mg once or twice daily,"nausea, dizziness"
Drug_65,General therapeutic medication,200 mg once or twice daily,"fatigue, mild rash"
Drug_66,General therapeutic medication,100 mg once or twice daily,"fatigue, mild rash"
Drug_67,General therapeutic medication,100 mg once or twice daily,"headache, dry mouth"
Drug_68,General therapeutic medication,100 mg once or twice daily,"headache, dry mouth"
Drug_69,General therapeutic medication,50 mg once or twice daily,"dizziness, blurred vision"
Drug_70,General therapeutic medication,100 mg once or twice daily,"headache, dry mouth"
Drug_71,General therapeutic medication,250 mg once or twice daily,"headache, dry mouth"
Drug_72,General therapeutic medication,250 mg once or twice daily,"dizziness, blurred vision"
Drug_73,General therapeutic medication,250 mg once or twice daily,"headache, dry mouth"
Drug_74,General therapeutic medication,50 mg once or twice daily,"stomach pain, nausea"
Drug_75,General therapeutic medication,200 mg once or twice daily,"stomach pain, nausea"
Drug_76,General therapeutic medication,200 mg once or twice daily,"headache, dry mouth"
Drug_77,General therapeutic medication,250 mg once or twice daily,"dizziness, blurred vision"
Drug_78,General therapeutic medication,250 mg once or twice daily,"fatigue, mild rash"
Drug_79,General therapeutic medication,50 mg once or twice daily,"fatigue, mild rash"
Drug_80,General therapeutic medication,250 mg once or twice daily,"headache, dry mouth"
Drug_81,General therapeutic medication,250 mg once or twice daily,"fatigue, mild rash"
Drug_82,General therapeutic medication,200 mg once or twice daily,"headache, dry mouth"
Drug_83,General therapeutic medication,50 mg once or twice daily,"nausea, dizziness"
Drug_84,General therapeutic medication,50 mg once or twice daily,"nausea, dizziness"
Drug_85,General therapeutic medication,500 mg once or twice daily,"dizziness, blurred vision"
Drug_86,General therapeutic medication,250 mg once or twice daily,"dizziness, blurred vision"
Drug_87,General therapeutic medication,500 mg once or twice daily,"stomach pain, nausea"
Drug_88,General therapeutic medication,200 mg once or twice daily,"dizziness, blurred vision"
Drug_89,General therapeutic medication,100 mg once or twice daily,"nausea, dizziness"
Drug_90,General therapeutic medication,200 mg once or twice daily,"headache, dry mouth"
Drug_91,General therapeutic medication,500 mg once or twice daily,"headache, dry mouth"
Drug_92,General therapeutic medication,100 mg once or twice daily,"nausea, dizziness"
Drug_93,General therapeutic medication,100 mg once or twice daily,"stomach pain, nausea"
Drug_94,General therapeutic medication,200 mg once or twice daily,"nausea, dizziness"
Drug_95,General therapeutic medication,50 mg once or twice daily,"dizziness, blurred vision"
Drug_96,General therapeutic medication,100 mg once or twice daily,"nausea, dizziness"
Drug_97,General therapeutic medication,50 mg once or twice daily,"headache, dry mouth"
Drug_98,General therapeutic medication,50 mg once or twice daily,"nausea, dizziness"
Drug_99,General therapeutic medication,200 mg once or twice daily,"dizziness, blurred vision"
Drug_100,General therapeutic medication,200 mg once or twice daily,"stomach pain, nausea"
Drug_101,General therapeutic medication,500 mg once or twice daily,"dizziness, blurred vision"
Drug_102,General therapeutic medication,500 mg once or twice daily,"dizziness, blurred vision"
Drug_103,General therapeutic medication,100 mg once or twice daily,"fatigue, mild rash"
Drug_104,General therapeutic medication,50 mg once or twice daily,"nausea, dizziness"
Drug_105,General therapeutic medication,200 mg once or twice daily,"dizziness, blurred vision"
Drug_106,General therapeutic medication,100 mg once or twice daily,"nausea, dizziness"
Drug_107,General therapeutic medication,50 mg once or twice daily,"headache, dry mouth"
Drug_108,General therapeutic medication,100 mg once or twice daily,"dizziness, blurred vision"
